#! FIELDS time phi psi theta
#! SET min_phi -pi
#! SET max_phi pi
#! SET min_psi -pi
#! SET max_psi pi
#! SET min_theta -pi
#! SET max_theta pi
 1245.000059 -1.233438 0.914762 0.059943
 1250.000059 -1.368170 1.238770 0.035849
 1255.000060 -1.600213 0.746851 0.349357
 1260.000060 -0.969373 1.362523 -0.226927
 1265.000060 -1.515579 1.117270 -0.041056
 1270.000060 -1.337800 0.809390 0.029504
 1275.000061 -1.468001 2.127798 0.093765
 1280.000061 -1.560381 0.816654 0.260272
 1285.000061 -1.399349 0.832218 0.105781
 1290.000061 -2.040142 2.718813 -0.193338
 1295.000062 -1.481490 2.600166 -0.159093
 1300.000062 -1.254776 1.389086 -0.012217
 1305.000062 -1.876723 2.610823 0.226731
 1310.000062 -1.279702 1.579130 -0.259253
 1315.000062 -1.449179 2.269433 0.006659
 1320.000063 -1.245889 0.966335 -0.079843
 1325.000063 -2.104260 2.639042 0.036781
 1330.000063 -1.436539 0.398171 0.253979
 1335.000063 -2.630372 2.648798 0.149669
 1340.000064 -2.317719 2.562348 0.027175
 1345.000064 -2.676636 2.356928 0.153855
 1350.000064 -1.416405 1.204596 0.151494
 1355.000064 -1.492308 0.333920 0.013881
 1360.000065 -1.335238 0.816091 0.267387
 1365.000065 -1.688285 1.036727 0.455773
 1370.000065 -1.499024 1.054805 0.115193
 1375.000065 -1.131930 1.098742 -0.452087
 1380.000066 -1.578703 1.428635 0.340667
 1385.000066 -2.081373 0.687621 0.230882
 1390.000066 -1.403365 0.644909 0.289460
 1395.000066 -2.452658 2.512922 -0.201414
 1400.000066 -1.357012 0.603124 0.069993
 1405.000067 -1.259124 1.051320 -0.081567
 1410.000067 -2.792113 2.577512 -0.046897
 1415.000067 -1.244292 1.164305 -0.327597
 1420.000067 -1.632196 1.541396 -0.148111
 1425.000068 -1.353160 1.145048 -0.019247
 1430.000068 -1.223470 0.623274 0.035915
 1435.000068 -2.175950 2.280830 0.008588
 1440.000068 -2.569349 -2.847584 0.235238
 1445.000069 -1.442262 0.943398 0.269777
 1450.000069 -1.444873 1.137657 -0.164679
 1455.000069 -1.217087 0.700462 -0.035284
 1460.000069 -1.765891 1.003539 0.234430
 1465.000070 -1.447340 1.083738 -0.175322
 1470.000070 -2.163164 2.847943 -0.044049
 1475.000070 -2.866833 2.670169 0.092084
 1480.000070 -1.984210 2.862935 -0.288894
 1485.000071 -2.428207 2.660888 -0.073657
 1490.000071 -0.930702 1.370304 -0.253494
 1495.000071 -1.385050 0.550123 0.132835
 1500.000071 -2.237160 2.896009 -0.200027
 1505.000071 -1.478696 2.395005 -0.169506
 1510.000072 -2.687636 2.746912 -0.138081
 1515.000072 -2.228829 0.543221 0.189581
 1520.000072 -1.279731 0.765522 0.002862
 1525.000072 -1.384205 0.468060 -0.010004
 1530.000073 -1.526236 0.823398 0.241706
 1535.000073 -1.261337 0.716150 -0.005622
 1540.000073 -1.440061 0.684945 0.243769
 1545.000073 -1.269563 0.198430 -0.110445
 1550.000074 -1.553499 1.325513 0.072953
 1555.000074 -1.739494 0.601966 0.051743
 1560.000074 -1.405975 0.822423 -0.046359
 1565.000074 -1.199877 0.505867 0.051848
 1570.000075 -1.193757 0.427825 -0.020870
 1575.000075 -1.398811 0.732903 0.232310
 1580.000075 -1.319958 1.170640 0.013978
 1585.000075 -1.288870 0.948932 0.001333
 1590.000076 -1.467300 0.901143 0.210038
 1595.000076 -2.638956 2.755978 0.201484
 1600.000076 -2.093379 1.690351 -0.091697
 1605.000076 -2.182982 0.048525 0.010768
 1610.000076 -1.749287 1.710280 0.088291
 1615.000077 -1.147582 0.417007 -0.040483
 1620.000077 -1.353683 1.197681 -0.032293
 1625.000077 -2.535662 2.775073 0.046696
 1630.000077 -2.525872 1.774902 -0.041781
 1635.000078 -1.396811 1.259784 0.077830
 1640.000078 -1.413525 1.161415 -0.268525
 1645.000078 -2.661560 3.022539 -0.002144
 1650.000078 -2.437101 2.576162 0.053366
 1655.000079 -2.141357 2.948892 0.095378
 1660.000079 -2.188487 2.274024 -0.083678
 1665.000079 -1.327520 1.210868 -0.005544
 1670.000079 -1.384563 0.754096 -0.033341
 1675.000080 -1.169421 2.246203 -0.376196
 1680.000080 -2.280113 2.412433 -0.122742
 1685.000080 -1.424116 1.234715 0.208617
 1690.000080 -1.524131 0.504447 0.439433
 1695.000081 -1.551056 2.396585 -0.362906
 1700.000081 -1.357912 1.440944 0.153050
 1705.000081 -1.568365 1.185652 0.156660
 1710.000081 -2.629917 2.419929 0.142717
 1715.000081 -2.564382 2.752388 -0.062446
 1720.000082 -2.245313 2.841827 -0.186815
 1725.000082 -2.629692 2.881001 -0.062284
 1730.000082 -2.212673 2.960248 -0.034897
 1735.000082 -2.442388 3.073829 -0.253147
 1740.000083 -2.545208 2.767146 -0.070587
 1745.000083 -2.270655 3.033784 -0.077149
 1750.000083 -1.346915 0.668754 0.111341
 1755.000083 -2.182579 2.673723 -0.035145
 1760.000084 -1.085304 1.250876 0.031904
 1765.000084 -1.277777 0.886093 -0.181805
 1770.000084 -2.318830 2.698812 -0.068749
 1775.000084 -2.412892 2.665198 -0.314561
 1780.000085 -2.558154 2.742270 -0.016474
 1785.000085 -2.684048 2.635126 -0.148355
 1790.000085 -1.739040 2.307218 -0.076502
 1795.000085 -2.329744 2.501768 -0.214533
 1800.000085 -2.405507 2.356733 0.038669
 1805.000086 -2.655927 2.679184 -0.092174
 1810.000086 -1.618600 0.784638 0.290820
 1815.000086 -1.549853 0.367746 -0.035667
 1820.000086 -1.746084 2.380878 -0.250120
 1825.000087 -1.581122 2.376737 -0.299922
 1830.000087 -1.352811 0.688148 0.153455
 1835.000087 -1.370339 0.298836 0.209210
 1840.000087 -1.215290 1.170210 -0.306205
 1845.000088 -1.633098 1.215896 0.460915
 1850.000088 -2.245954 2.351560 0.043928
 1855.000088 -1.724075 2.217729 0.115060
 1860.000088 -2.592217 2.658979 -0.168407
 1865.000089 -2.382058 2.657794 -0.145715
 1870.000089 -2.784304 2.960275 0.095135
 1875.000089 -2.620227 2.928521 -0.142510
 1880.000089 -1.213084 0.215349 0.122291
 1885.000090 -2.279771 3.081038 -0.122611
 1890.000090 -1.434964 0.572247 0.224479
 1895.000090 -1.911421 2.135799 -0.095507
 1900.000090 -2.288320 2.278212 -0.185075
 1905.000090 -1.384328 1.354834 -0.175057
 1910.000091 -1.367691 0.875003 0.106473
 1915.000091 -2.259252 2.850419 -0.239277
 1920.000091 -1.428254 1.485184 -0.064582
 1925.000091 -2.759993 3.034267 -0.333443
 1930.000092 -1.151389 0.387693 -0.001145
 1935.000092 -1.649233 2.591502 -0.386704
 1940.000092 -2.805199 2.565034 -0.084894
 1945.000092 -1.841375 2.364362 0.134357
 1950.000093 -2.533359 -2.834786 -0.320150
 1955.000093 -1.161124 1.312647 -0.188372
 1960.000093 -1.423151 1.056385 0.238074
 1965.000093 -1.318351 0.443842 0.053400
 1970.000094 -1.290874 1.364888 0.142385
 1975.000094 -1.287360 1.253827 0.034968
 1980.000094 -1.402332 1.393600 -0.082971
 1985.000094 -2.620333 2.910975 0.200181
 1990.000095 -2.577848 2.934907 -0.118358
 1995.000095 -2.739723 2.733512 0.081708
 2000.000095 -1.350166 2.356336 -0.095366
 2005.000095 -1.260506 1.333708 -0.148318
 2010.000095 -1.208334 0.963187 0.222936
 2015.000096 -1.483510 1.209892 0.217453
 2020.000096 -1.305680 0.611732 0.151098
 2025.000096 -1.361392 0.955124 0.262123
 2030.000096 -1.460183 1.037704 0.276075
 2035.000097 -1.653231 0.936050 0.260118
 2040.000097 -1.537592 1.144614 0.394940
 2045.000097 -1.324948 1.200073 -0.011891
 2050.000097 -1.117815 1.111460 0.064235
 2055.000098 -1.034698 0.193191 -0.212669
 2060.000098 -2.197936 2.686575 -0.377876
 2065.000098 -1.440600 0.881090 0.104738
 2070.000098 -1.453643 2.548736 -0.145681
 2075.000099 -1.469183 1.653692 0.153139
 2080.000099 -1.119559 1.477094 0.157748
 2085.000099 -1.096096 2.258763 -0.106905
 2090.000099 -2.343849 2.657022 -0.280981
 2095.000100 -2.846134 2.596697 0.065142
 2100.000100 -1.471663 1.408058 0.162585
 2105.000100 -2.656583 2.391454 -0.075281
 2110.000100 -1.527916 0.971080 -0.025098
 2115.000100 -1.539637 1.588440 0.148878
 2120.000101 -2.125645 2.553848 -0.064500
 2125.000101 -2.517777 2.768112 -0.041709
 2130.000101 -1.969184 2.793869 0.107307
 2135.000101 -1.535732 0.802007 0.295012
 2140.000102 -2.464647 2.628296 -0.036037
 2145.000102 -1.552862 2.327275 0.000487
 2150.000102 -1.262206 0.519270 0.471761
 2155.000102 -1.398907 0.983176 0.280513
 2160.000103 -2.594064 2.770222 0.173552
 2165.000103 -1.620425 2.547377 -0.117415
 2170.000103 -1.527506 2.599247 0.048350
 2175.000103 -2.388300 2.869349 -0.099078
 2180.000104 -1.466613 0.848171 0.374184
 2185.000104 -2.651102 3.013681 -0.268176
 2190.000104 -1.897119 1.032790 0.062002
 2195.000104 -2.257162 1.159322 0.189798
 2200.000104 -1.436252 1.403162 -0.096574
 2205.000105 -1.252430 1.221301 -0.092347
 2210.000105 -1.687353 1.215245 0.030635
 2215.000105 -1.597866 1.270578 0.333046
 2220.000105 -1.161136 0.584758 -0.052353
 2225.000106 -1.789035 2.440023 -0.126358
 2230.000106 -2.274461 -3.053062 0.078746
 2235.000106 -2.260979 2.858352 0.065183
 2240.000106 -2.915662 2.878752 0.305407
 2245.000107 -1.404100 1.811049 0.086038
 2250.000107 -1.288782 0.723905 0.175649
 2255.000107 -1.359372 1.323809 -0.312257
 2260.000107 -1.325466 0.645759 0.123925
 2265.000108 -1.360542 1.434417 0.083645
 2270.000108 -1.341210 1.594758 0.020581
 2275.000108 -1.294783 2.011860 0.115575
 2280.000108 -2.384559 3.015340 -0.147859
 2285.000109 -2.610334 2.935172 0.032452
 2290.000109 -2.535062 2.466913 0.041620
 2295.000109 -2.786858 2.700506 0.086876
 2300.000109 -2.255242 2.747524 -0.309975
 2305.000109 -1.827282 2.474391 -0.055346
 2310.000110 -1.339429 0.719944 0.288823
 2315.000110 -1.499818 0.811473 0.609228
 2320.000110 -1.335138 0.742248 0.251423
 2325.000110 -1.452231 1.058007 -0.074353
 2330.000111 -1.427966 0.526422 0.051830
 2335.000111 -1.346838 1.403461 -0.150105
 2340.000111 -2.727262 2.437289 0.030696
 2345.000111 -1.623823 2.789611 -0.082888
 2350.000112 -1.688234 1.796597 0.166379
 2355.000112 -2.423713 2.757138 -0.443539
 2360.000112 -2.469964 1.450672 0.420849
 2365.000112 -1.526936 1.013559 -0.023304
 2370.000113 -1.677213 2.097466 0.127203
 2375.000113 -1.099456 0.959240 -0.115536
 2380.000113 -1.380657 0.730935 -0.086837
 2385.000113 -1.359973 0.839002 0.019031
 2390.000114 -1.324431 0.647130 -0.098098
 2395.000114 -1.121898 0.682525 -0.138072
 2400.000114 -2.537135 2.592961 0.222869
 2405.000114 -2.209487 2.681364 -0.184953
 2410.000114 -2.210546 2.819269 -0.379082
 2415.000115 -2.794263 2.611141 0.183603
 2420.000115 -1.374587 2.664342 -0.210899
 2425.000115 -1.557455 0.901012 0.161784
 2430.000115 -2.927424 -3.073916 -0.185292
 2435.000116 -1.686234 2.084615 -0.033521
 2440.000116 -2.844192 2.895529 0.059200
 2445.000116 -2.780002 2.899700 -0.197708
 2450.000116 -2.048342 2.972712 -0.130900
 2455.000117 -2.670360 2.760879 -0.071999
 2460.000117 -2.932840 2.856955 0.316500
 2465.000117 -2.737078 2.886008 0.045272
 2470.000117 -2.731721 2.540285 -0.150887
 2475.000118 -1.453948 1.967636 0.227174
 2480.000118 -2.108001 2.530948 0.033971
 2485.000118 -2.354003 2.532877 0.025806
 2490.000118 -2.343084 2.618403 -0.057706
 2495.000119 -1.222595 0.235650 0.049950
 2500.000119 -2.524201 -3.120489 -0.118015
 2505.000119 -2.716489 2.790287 0.024081
 2510.000119 -2.736929 2.889178 0.024011
 2515.000119 -1.535594 1.410847 -0.233772
 2520.000120 -2.535391 2.576592 0.286556
 2525.000120 -1.524645 1.458310 0.291946
 2530.000120 -1.156489 1.277592 0.320291
 2535.000120 -2.000308 2.359121 -0.196357
 2540.000121 -1.521352 1.672946 0.401562
 2545.000121 -2.242118 3.125001 -0.073135
 2550.000121 -2.720696 -3.127203 0.102797
 2555.000121 -2.164529 1.804305 0.247280
 2560.000122 -1.173622 1.202944 -0.059058
 2565.000122 -1.210064 2.444035 -0.469812
