#! FIELDS time phi psi theta
#! SET min_phi -pi
#! SET max_phi pi
#! SET min_psi -pi
#! SET max_psi pi
#! SET min_theta -pi
#! SET max_theta pi
 2730.000130 -0.996591 -0.278787 -0.455620
 2740.000130 -2.590117 1.120854 0.312054
 2750.000131 -1.317927 2.144929 0.244333
 2760.000131 -1.540825 2.689658 -0.177440
 2770.000132 -1.987279 2.925051 -0.424073
 2780.000132 -1.645979 1.912511 0.311304
 2790.000133 -1.664563 1.582746 -0.010792
 2800.000133 -2.021528 2.546880 -0.142295
 2810.000133 -2.007674 2.878903 -0.359399
 2820.000134 3.097373 2.248340 -0.049531
 2830.000134 -1.186906 0.917034 0.037270
 2840.000135 -1.476897 1.083990 0.211658
 2850.000135 -1.030629 1.868047 -0.062680
 2860.000136 -1.706158 0.950932 0.007149
 2870.000136 -1.105522 0.168112 0.288225
 2880.000137 -1.539746 1.990092 0.138104
 2890.000137 -1.187812 2.395906 -0.292217
 2900.000138 -2.488444 2.124953 -0.173140
 2910.000138 -2.200950 -0.036102 0.458960
 2920.000139 -1.274118 2.818731 -0.315693
 2930.000139 -1.738226 0.934066 0.673399
 2940.000140 -2.145895 2.993317 -0.287195
 2950.000140 -1.482392 0.561537 0.017934
 2960.000141 -1.654358 1.939415 0.109117
 2970.000141 -0.927223 -0.163259 -0.238110
 2980.000142 -0.979119 0.095848 0.072419
 2990.000142 -2.767903 1.892654 0.504416
 3000.000142 -1.424941 0.350491 -0.041012
 3010.000143 -1.409517 1.461593 -0.269403
 3020.000143 -1.591995 1.580145 0.148395
 3030.000144 -2.811488 -2.807438 0.198600
 3040.000144 -0.995544 -0.575040 -0.064957
 3050.000145 -2.641638 -2.975343 -0.154331
 3060.000145 -2.085588 2.663359 -0.053082
 3070.000146 -1.321717 1.206744 -0.255332
 3080.000146 -1.737585 0.599233 0.740984
 3090.000147 -1.669340 2.238863 0.116573
 3100.000147 -1.432072 2.391590 -0.318186
 3110.000148 -1.909799 2.070207 0.038642
 3120.000148 -2.454267 2.203826 0.050195
 3130.000149 -2.477578 2.442952 0.360590
 3140.000149 -1.435013 -0.144067 0.229454
 3150.000150 -2.669947 3.105480 -0.013618
 3160.000150 -1.109586 1.155103 -0.223713
 3170.000151 -1.980811 2.551111 -0.066061
 3180.000151 -1.606648 0.955210 0.212673
 3190.000152 -1.302366 0.960093 -0.063223
 3200.000152 -1.847044 0.146233 -0.055588
 3210.000152 -1.555781 2.416109 -0.271348
 3220.000153 -1.678921 0.519428 0.105218
 3230.000153 -1.666111 1.880020 -0.072731
 3240.000154 -1.576192 2.210082 0.238486
 3250.000154 -2.188574 2.438766 -0.173838
 3260.000155 -1.374199 1.237364 -0.239886
 3270.000155 -1.311499 1.053347 -0.201238
 3280.000156 -1.458326 0.724173 0.549177
 3290.000156 -1.693516 0.251175 0.138628
 3300.000157 -2.636586 2.529445 0.564955
 3310.000157 -2.200601 2.984850 -0.365367
 3320.000158 -1.102426 1.868008 -0.124755
 3330.000158 -2.481390 2.661063 0.014851
 3340.000159 -2.324413 2.263971 0.228217
 3350.000159 -0.916161 1.655840 -0.237512
 3360.000160 -1.568971 0.367978 0.377777
 3370.000160 -1.533996 0.849360 -0.463873
 3380.000161 -1.403027 1.152651 -0.068033
 3390.000161 -2.452358 2.821388 -0.243155
 3400.000161 -1.239959 1.754463 -0.498712
 3410.000162 -1.625233 1.725297 -0.005904
 3420.000162 -1.835537 1.772979 -0.196740
 3430.000163 -2.187896 1.648197 -0.303131
 3440.000163 -1.824157 2.374647 0.255775
 3450.000164 -1.621332 1.394462 0.042976
 3460.000164 -1.595133 2.409139 -0.244029
 3470.000165 -2.143574 2.916215 -0.203359
 3480.000165 -1.398736 1.294249 0.340066
 3490.000166 -2.271721 2.236744 0.106004
 3500.000166 -1.194503 0.749594 0.024109
 3510.000167 -2.402051 2.482383 -0.303296
 3520.000167 -1.472794 2.530121 -0.514585
 3530.000168 -1.380828 2.639921 -0.352807
 3540.000168 -3.100643 2.611789 -0.329236
 3550.000169 -1.470301 1.193338 -0.168453
 3560.000169 -1.410760 1.273299 -0.315853
 3570.000170 -2.510320 2.846727 -0.312477
 3580.000170 -1.153821 1.303853 0.214545
 3590.000171 -1.445621 2.625250 -0.041519
 3600.000171 -2.894337 2.623334 0.261747
 3610.000171 -1.777737 0.711430 0.551642
 3620.000172 -2.356639 1.616986 -0.096570
 3630.000172 -1.709432 1.657805 0.009628
 3640.000173 -1.713171 2.497277 -0.059803
 3650.000173 -1.245462 1.663209 -0.532516
 3660.000174 -1.219939 0.799687 0.023047
 3670.000174 -2.453012 1.995553 0.074784
 3680.000175 -1.154513 2.035068 -0.068736
 3690.000175 0.905337 -0.847550 -0.110192
 3700.000176 1.413480 -0.642397 -0.548057
 3710.000176 -2.280320 2.490208 -0.244221
 3720.000177 -2.375548 2.845145 -0.210978
 3730.000177 -1.727542 2.809321 -0.135254
 3740.000178 -0.734234 1.187199 -0.341045
 3750.000178 -1.200494 0.747144 0.035878
 3760.000179 -2.899695 2.916942 0.006431
 3770.000179 -2.550645 2.824641 0.010523
 3780.000180 -1.332241 0.244323 0.425355
 3790.000180 -1.159066 0.599862 -0.124898
 3800.000180 -1.817845 1.075625 0.521859
 3810.000181 -0.994837 2.017879 -0.435000
 3820.000181 -2.345963 2.730397 0.060543
 3830.000182 -2.073774 0.670205 0.416796
 3840.000182 -2.624462 -3.120500 -0.178434
 3850.000183 -1.872883 2.663699 -0.257511
 3860.000183 -2.854555 2.552810 0.113754
 3870.000184 -2.776888 -2.996690 0.027377
 3880.000184 -1.702015 1.034209 0.378272
 3890.000185 -1.516404 2.397573 0.001267
 3900.000185 -1.656515 0.765705 0.194190
 3910.000186 -1.647619 1.276081 -0.207711
 3920.000186 -0.984721 2.550118 -0.416006
 3930.000187 -1.356285 1.153551 0.030955
 3940.000187 -1.431451 1.333281 -0.079983
 3950.000188 -2.026310 0.614469 0.583149
 3960.000188 -1.762179 2.082922 -0.115420
 3970.000189 -2.408791 2.725306 0.090002
 3980.000189 -2.605264 2.685395 -0.070883
 3990.000190 -2.568232 2.842398 0.002980
 4000.000190 -2.914211 2.404442 -0.121722
 4010.000190 -2.340898 2.908594 0.104268
 4020.000191 -1.080250 2.370469 0.037482
 4030.000191 -2.284826 2.326274 0.360996
 4040.000192 -2.026772 2.959765 0.104315
 4050.000192 -0.973364 0.512741 -0.186300
 4060.000193 -2.453962 2.320552 -0.073256
 4070.000193 -1.582330 2.085832 -0.118780
 4080.000194 -2.535153 2.127926 0.278881
 4090.000194 -2.353472 0.653226 0.047626
 4100.000195 -2.738969 3.077867 0.119473
 4110.000195 -2.563334 2.590759 0.261127
 4120.000196 -2.207802 -0.042412 0.769647
 4130.000196 -2.651494 1.321469 -0.129074
 4140.000197 -3.010879 2.690773 -0.088932
 4150.000197 -2.284220 -2.904157 -0.427308
 4160.000198 -1.409190 1.357468 -0.037368
 4170.000198 -2.414011 2.794049 -0.361691
 4180.000199 -1.933031 0.827276 0.001960
 4190.000199 -1.534579 1.698672 0.198127
 4200.000199 -2.159774 1.320016 0.363584
 4210.000200 -2.076479 2.650650 0.091478
 4220.000200 -1.458431 1.821035 0.094524
 4230.000201 -2.636961 3.106292 0.093409
 4240.000201 -1.190463 0.770590 -0.069089
 4250.000202 -2.346291 3.069410 0.093800
 4260.000202 -2.008573 2.404176 0.180204
 4270.000203 -1.602797 1.094154 0.232936
 4280.000203 -1.265853 0.771977 -0.055079
 4290.000204 -2.562691 2.318120 0.137350
