#! FIELDS time phi psi theta
#! SET min_phi -pi
#! SET max_phi pi
#! SET min_psi -pi
#! SET max_psi pi
#! SET min_theta -pi
#! SET max_theta pi
 4800.000228 -1.320839 0.585013 0.010313
 4810.000228 -1.337696 1.650161 -0.412570
 4820.000229 -1.743567 0.410013 0.124692
 4830.000229 -1.459333 0.207998 0.210687
 4840.000230 -1.809777 2.346014 -0.133589
 4850.000230 -2.327971 2.167300 0.406033
 4860.000231 -2.173353 2.653703 -0.178266
 4870.000231 -2.297256 2.105999 0.128337
 4880.000232 -1.499316 1.249057 0.342829
 4890.000232 -3.029073 2.333261 0.131410
 4900.000233 -1.385264 2.638008 -0.115667
 4910.000233 -2.500695 2.658494 -0.085726
 4920.000234 -2.066341 2.610151 -0.360815
 4930.000234 -1.344766 0.935695 0.164179
 4940.000235 -1.673877 2.216713 -0.203026
 4950.000235 -0.973293 2.351006 -0.178209
 4960.000236 -2.541964 2.650829 0.242302
 4970.000236 -2.742847 2.249832 -0.142913
 4980.000237 -2.620863 2.961887 -0.177802
 4990.000237 -2.229448 2.518638 -0.188054
 5000.000237 -2.138208 2.748885 0.043810
 5010.000238 -2.280573 2.657535 -0.185178
 5020.000238 -1.704098 0.382514 0.193198
 5030.000239 -1.424933 2.507111 -0.071184
 5040.000239 -2.282009 2.694326 -0.503922
 5050.000240 -2.552895 -2.736517 -0.362471
 5060.000240 -2.319000 2.885952 -0.201368
 5070.000241 -2.732668 2.766629 -0.028070
 5080.000241 -2.172357 2.932412 0.068303
 5090.000242 -1.492551 2.175644 0.125977
 5100.000242 -1.913370 1.456460 -0.191449
 5110.000243 -1.086907 0.241223 0.326160
 5120.000243 -1.376599 0.676137 0.113213
 5130.000244 -2.568757 2.498414 -0.118068
 5140.000244 -1.734753 0.906621 0.004717
 5150.000245 -2.431082 2.152081 0.020735
 5160.000245 -1.320202 0.923223 -0.220477
 5170.000246 -1.950978 2.537523 0.166775
 5180.000246 -2.925421 2.930061 0.140244
 5190.000247 -1.843416 2.224366 0.520779
 5200.000247 -2.250978 3.085189 -0.112248
 5210.000247 -1.187912 0.452430 -0.241980
 5220.000248 -1.207649 1.021462 -0.174529
 5230.000248 -1.360845 2.081337 -0.135123
 5240.000249 -1.346967 2.296711 -0.091520
 5250.000249 -2.576843 3.049772 -0.192503
 5260.000250 -2.202208 2.532808 0.064334
 5270.000250 -1.414663 1.534253 0.049477
 5280.000251 -2.551352 3.044855 -0.288544
 5290.000251 -1.443068 1.087592 0.274969
 5300.000252 -1.490398 1.052461 0.161013
 5310.000252 -2.443067 2.528468 -0.076442
 5320.000253 -1.495745 1.082478 -0.040499
 5330.000253 -2.773914 2.567518 0.036531
 5340.000254 -2.376670 2.716209 -0.134664
 5350.000254 -2.326557 2.573551 0.047483
 5360.000255 -1.611247 0.734731 0.196855
 5370.000255 -1.315646 0.949803 -0.119433
 5380.000256 -1.417523 1.045501 0.151711
 5390.000256 -1.432362 0.386677 0.129297
 5400.000256 -1.360135 0.612925 0.133634
 5410.000257 -2.866199 2.724421 0.227840
 5420.000257 -1.466601 2.339153 -0.300819
 5430.000258 -2.398404 2.649909 0.027743
 5440.000258 -2.108791 2.246015 0.032657
 5450.000259 -1.387728 0.433342 0.175208
 5460.000259 -2.066783 2.691460 -0.089941
 5470.000260 -2.871055 2.474344 -0.060957
 5480.000260 -1.439361 1.282906 0.082018
 5490.000261 -1.869585 0.824185 0.328015
 5500.000261 -1.284653 2.522618 -0.145558
 5510.000262 -1.449382 1.589754 -0.118589
 5520.000262 -1.229826 -0.290968 0.487788
 5530.000263 -1.771233 2.074534 0.135883
 5540.000263 -1.454701 0.356569 0.200188
 5550.000264 -1.538355 1.607346 0.089885
 5560.000264 -1.479657 1.389840 -0.045375
 5570.000265 -2.455589 2.824380 -0.097579
 5580.000265 -1.270690 2.437555 -0.247441
 5590.000266 -2.156404 3.081879 -0.078538
 5600.000266 -1.586084 0.970573 0.201980
 5610.000266 -1.451529 1.073187 0.050458
 5620.000267 -0.960509 -0.037885 0.162873
 5630.000267 -1.734789 1.351195 0.014409
 5640.000268 -1.678628 0.097952 0.191743
 5650.000268 -1.433800 2.383866 -0.126449
 5660.000269 -2.617488 2.722714 -0.080655
 5670.000269 -1.334001 0.988890 0.078207
 5680.000270 -2.175260 2.386017 -0.047005
 5690.000270 -2.831816 2.666120 -0.012690
 5700.000271 -1.379915 0.620454 0.114014
 5710.000271 -1.705240 0.702987 -0.073152
 5720.000272 -0.893969 1.466609 -0.282467
 5730.000272 -1.434676 2.730524 -0.341893
 5740.000273 -1.603090 1.420281 -0.103117
 5750.000273 -2.473883 -3.096928 -0.109577
 5760.000274 -1.421886 2.610396 -0.069966
 5770.000274 -1.815095 0.590105 0.069689
 5780.000275 -1.908930 2.366082 -0.342960
 5790.000275 -1.795762 2.839947 -0.216515
 5800.000275 -1.063729 0.518769 -0.032692
 5810.000276 -1.337902 0.755644 0.209813
 5820.000276 -1.545410 2.173344 0.205986
